belief_self,certainty_self,topic,gender_other,nationality_other,code,belief,certainty,gender,nationality,belief_other,certainty_other,misspecification,round_number
1,50,Sports and Video Games,Male,non-US National,78sdphga,1,50,Female,non-US National,1,50,correct,1
0,50,US Geography,Male,US National,a22g0du7,1,75,Female,non-US National,1,75,under,1
1,100,Math,Male,US National,a22g0du7,1,75,Female,non-US National,1,75,correct,1
0,50,Pop-Culture and Art,Male,US National,a22g0du7,1,50,Female,non-US National,1,50,correct,1
1,100,Verbal,Male,US National,a22g0du7,1,75,Female,non-US National,1,75,correct,1
1,75,Science and Technology,Male,US National,a22g0du7,1,75,Female,non-US National,1,75,correct,1
1,75,Sports and Video Games,Male,US National,a22g0du7,1,75,Female,non-US National,1,75,under,1
0,100,US Geography,Male,US National,byf6tjt0,1,50,Female,non-US National,1,50,correct,1
2,100,Math,Male,US National,byf6tjt0,1,50,Female,non-US National,1,50,correct,1
0,100,Pop-Culture and Art,Male,US National,byf6tjt0,0,33,Female,non-US National,0,33,under,1
2,75,Verbal,Male,US National,byf6tjt0,1,75,Female,non-US National,1,75,over,1
1,50,Science and Technology,Male,US National,byf6tjt0,1,75,Female,non-US National,1,75,correct,1
0,75,Sports and Video Games,Male,US National,byf6tjt0,2,75,Female,non-US National,2,75,over,1
0,75,US Geography,Male,US National,cioxyqvq,2,75,Female,non-US National,2,75,over,1
1,75,Math,Male,US National,cioxyqvq,1,33,Female,non-US National,1,33,correct,1
1,33,Pop-Culture and Art,Male,US National,cioxyqvq,2,75,Female,non-US National,2,75,over,1
1,33,Verbal,Male,US National,cioxyqvq,2,75,Female,non-US National,2,75,over,1
1,33,Science and Technology,Male,US National,cioxyqvq,1,33,Female,non-US National,1,33,correct,1
0,50,Sports and Video Games,Male,US National,cioxyqvq,1,75,Female,non-US National,1,75,correct,1
0,100,US Geography,Female,US National,cl0818oa,1,100,Male,non-US National,1,100,correct,1
1,100,Math,Female,US National,cl0818oa,0,75,Male,non-US National,0,75,correct,1
0,100,Pop-Culture and Art,Female,US National,cl0818oa,1,100,Male,non-US National,1,100,correct,1
0,100,Verbal,Female,US National,cl0818oa,1,75,Male,non-US National,1,75,over,1
1,100,Science and Technology,Female,US National,cl0818oa,1,100,Male,non-US National,1,100,over,1
0,100,Sports and Video Games,Female,US National,cl0818oa,1,75,Male,non-US National,1,75,over,1
0,33,US Geography,Male,non-US National,dk93ewke,0,33,Female,non-US National,0,33,under,1
2,100,Math,Male,non-US National,dk93ewke,2,100,Female,non-US National,2,100,over,1
0,33,Pop-Culture and Art,Male,non-US National,dk93ewke,1,50,Female,non-US National,1,50,correct,1
0,33,Verbal,Male,non-US National,dk93ewke,1,50,Female,non-US National,1,50,over,1
0,75,Science and Technology,Male,non-US National,dk93ewke,1,75,Female,non-US National,1,75,correct,1
0,33,Sports and Video Games,Male,non-US National,dk93ewke,2,75,Female,non-US National,2,75,over,1
0,50,US Geography,Male,US National,ffd2bxk4,1,33,Female,US National,1,33,correct,1
2,100,Math,Male,US National,ffd2bxk4,1,33,Female,US National,1,33,correct,1
1,75,Pop-Culture and Art,Male,US National,ffd2bxk4,0,75,Female,US National,0,75,under,1
1,50,Verbal,Male,US National,ffd2bxk4,1,33,Female,US National,1,33,over,1
0,33,Science and Technology,Male,US National,ffd2bxk4,2,100,Female,US National,2,100,over,1
0,75,Sports and Video Games,Male,US National,ffd2bxk4,2,100,Female,US National,2,100,over,1
0,50,US Geography,Male,US National,g2p53iqv,1,100,Female,non-US National,1,100,correct,1
2,100,Math,Male,US National,g2p53iqv,1,75,Female,non-US National,1,75,correct,1
1,75,Pop-Culture and Art,Male,US National,g2p53iqv,0,75,Female,non-US National,0,75,under,1
1,50,Verbal,Male,US National,g2p53iqv,2,75,Female,non-US National,2,75,over,1
1,75,Science and Technology,Male,US National,g2p53iqv,0,75,Female,non-US National,0,75,under,1
0,75,Sports and Video Games,Male,US National,g2p53iqv,2,75,Female,non-US National,2,75,over,1
0,75,US Geography,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
0,100,Math,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
0,75,Pop-Culture and Art,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
0,75,Verbal,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
0,75,Science and Technology,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
0,75,Sports and Video Games,Female,non-US National,idzf7yro,0,33,Female,non-US National,0,33,under,1
1,75,US Geography,Male,US National,ilooy3i8,1,33,Female,US National,1,33,correct,1
0,50,Math,Male,US National,ilooy3i8,1,75,Female,US National,1,75,correct,1
0,75,Pop-Culture and Art,Male,US National,ilooy3i8,1,33,Female,US National,1,33,correct,1
1,75,Verbal,Male,US National,ilooy3i8,1,75,Female,US National,1,75,over,1
1,75,Science and Technology,Male,US National,ilooy3i8,1,33,Female,US National,1,33,correct,1
0,75,Sports and Video Games,Male,US National,ilooy3i8,2,75,Female,US National,2,75,over,1
0,75,US Geography,Male,US National,j3r6tuv8,1,75,Female,US National,1,75,correct,1
1,100,Math,Male,US National,j3r6tuv8,1,75,Female,US National,1,75,correct,1
1,50,Pop-Culture and Art,Male,US National,j3r6tuv8,0,50,Female,US National,0,50,under,1
1,75,Verbal,Male,US National,j3r6tuv8,1,50,Female,US National,1,50,correct,1
1,50,Science and Technology,Male,US National,j3r6tuv8,1,33,Female,US National,1,33,correct,1
0,50,Sports and Video Games,Male,US National,j3r6tuv8,1,75,Female,US National,1,75,correct,1
1,75,US Geography,Male,non-US National,jk70axat,1,75,Female,non-US National,1,75,correct,1
1,75,Math,Male,non-US National,jk70axat,2,75,Female,non-US National,2,75,correct,1
1,75,Pop-Culture and Art,Male,non-US National,jk70axat,1,75,Female,non-US National,1,75,over,1
2,75,Verbal,Male,non-US National,jk70axat,1,75,Female,non-US National,1,75,over,1
1,75,Science and Technology,Male,non-US National,jk70axat,1,75,Female,non-US National,1,75,correct,1
1,75,Sports and Video Games,Male,non-US National,jk70axat,1,75,Female,non-US National,1,75,correct,1
0,33,US Geography,Male,non-US National,jka2nr9v,1,75,Female,non-US National,1,75,correct,1
1,75,Math,Male,non-US National,jka2nr9v,1,100,Female,non-US National,1,100,over,1
0,33,Pop-Culture and Art,Male,non-US National,jka2nr9v,1,75,Female,non-US National,1,75,correct,1
1,50,Verbal,Male,non-US National,jka2nr9v,0,75,Female,non-US National,0,75,under,1
1,50,Science and Technology,Male,non-US National,jka2nr9v,1,100,Female,non-US National,1,100,correct,1
0,33,Sports and Video Games,Male,non-US National,jka2nr9v,2,100,Female,non-US National,2,100,over,1
1,100,US Geography,Male,non-US National,k43107gm,1,100,,,1,100,correct,1
1,100,Math,Male,non-US National,k43107gm,1,50,,,1,50,over,1
1,75,Pop-Culture and Art,Male,non-US National,k43107gm,1,33,,,1,33,correct,1
0,75,Verbal,Male,non-US National,k43107gm,1,75,,,1,75,correct,1
2,100,Science and Technology,Male,non-US National,k43107gm,1,100,,,1,100,correct,1
1,75,Sports and Video Games,Male,non-US National,k43107gm,1,33,,,1,33,correct,1
0,33,US Geography,Female,US National,ko3jhnbj,2,75,Female,non-US National,2,75,over,1
2,75,Math,Female,US National,ko3jhnbj,2,75,Female,non-US National,2,75,over,1
0,75,Pop-Culture and Art,Female,US National,ko3jhnbj,2,33,Female,non-US National,2,33,over,1
1,75,Verbal,Female,US National,ko3jhnbj,1,50,Female,non-US National,1,50,over,1
1,33,Science and Technology,Female,US National,ko3jhnbj,1,33,Female,non-US National,1,33,correct,1
0,33,Sports and Video Games,Female,US National,ko3jhnbj,1,33,Female,non-US National,1,33,correct,1
0,50,US Geography,Female,US National,lmiiifw0,1,50,Female,non-US National,1,50,correct,1
1,75,Math,Female,US National,lmiiifw0,1,75,Female,non-US National,1,75,correct,1
0,75,Pop-Culture and Art,Female,US National,lmiiifw0,0,75,Female,non-US National,0,75,under,1
0,75,Verbal,Female,US National,lmiiifw0,0,75,Female,non-US National,0,75,correct,1
1,75,Science and Technology,Female,US National,lmiiifw0,1,75,Female,non-US National,1,75,correct,1
0,75,Sports and Video Games,Female,US National,lmiiifw0,0,75,Female,non-US National,0,75,under,1
0,75,US Geography,Male,US National,n86dcmzu,1,75,Male,non-US National,1,75,under,1
1,100,Math,Male,US National,n86dcmzu,1,75,Male,non-US National,1,75,correct,1
0,75,Pop-Culture and Art,Male,US National,n86dcmzu,0,75,Male,non-US National,0,75,under,1
0,100,Verbal,Male,US National,n86dcmzu,1,100,Male,non-US National,1,100,correct,1
1,100,Science and Technology,Male,US National,n86dcmzu,1,75,Male,non-US National,1,75,correct,1
0,75,Sports and Video Games,Male,US National,n86dcmzu,1,75,Male,non-US National,1,75,under,1
1,75,US Geography,Male,non-US National,ncvtgyzn,0,50,Female,US National,0,50,under,1
1,75,Math,Male,non-US National,ncvtgyzn,1,75,Female,US National,1,75,correct,1
0,33,Pop-Culture and Art,Male,non-US National,ncvtgyzn,1,50,Female,US National,1,50,correct,1
1,75,Verbal,Male,non-US National,ncvtgyzn,1,50,Female,US National,1,50,correct,1
1,50,Science and Technology,Male,non-US National,ncvtgyzn,1,50,Female,US National,1,50,correct,1
0,50,Sports and Video Games,Male,non-US National,ncvtgyzn,1,50,Female,US National,1,50,correct,1
1,75,US Geography,Male,non-US National,oqf1d07l,1,50,Female,US National,1,50,correct,1
1,100,Math,Male,non-US National,oqf1d07l,1,100,Female,US National,1,100,under,1
1,100,Pop-Culture and Art,Male,non-US National,oqf1d07l,1,75,Female,US National,1,75,over,1
1,100,Verbal,Male,non-US National,oqf1d07l,1,75,Female,US National,1,75,over,1
1,100,Science and Technology,Male,non-US National,oqf1d07l,1,100,Female,US National,1,100,correct,1
1,75,Sports and Video Games,Male,non-US National,oqf1d07l,1,75,Female,US National,1,75,correct,1
2,100,US Geography,Male,US National,q9jar1of,1,33,Male,non-US National,1,33,correct,1
1,75,Math,Male,US National,q9jar1of,1,75,Male,non-US National,1,75,correct,1
1,75,Pop-Culture and Art,Male,US National,q9jar1of,1,75,Male,non-US National,1,75,correct,1
1,33,Verbal,Male,US National,q9jar1of,1,33,Male,non-US National,1,33,over,1
1,33,Science and Technology,Male,US National,q9jar1of,1,33,Male,non-US National,1,33,correct,1
1,100,Sports and Video Games,Male,US National,q9jar1of,1,33,Male,non-US National,1,33,correct,1
2,100,US Geography,Female,non-US National,uz5m20q1,1,33,Male,non-US National,1,33,correct,1
2,100,Math,Female,non-US National,uz5m20q1,2,100,Male,non-US National,2,100,over,1
1,75,Pop-Culture and Art,Female,non-US National,uz5m20q1,2,75,Male,non-US National,2,75,over,1
1,100,Verbal,Female,non-US National,uz5m20q1,1,75,Male,non-US National,1,75,correct,1
2,100,Science and Technology,Female,non-US National,uz5m20q1,2,75,Male,non-US National,2,75,over,1
1,75,Sports and Video Games,Female,non-US National,uz5m20q1,0,75,Male,non-US National,0,75,under,1
0,75,US Geography,Male,non-US National,v3yunf9n,1,33,Female,non-US National,1,33,correct,1
1,100,Math,Male,non-US National,v3yunf9n,1,33,Female,non-US National,1,33,over,1
1,75,Pop-Culture and Art,Male,non-US National,v3yunf9n,1,33,Female,non-US National,1,33,correct,1
1,75,Verbal,Male,non-US National,v3yunf9n,1,33,Female,non-US National,1,33,correct,1
1,75,Science and Technology,Male,non-US National,v3yunf9n,1,33,Female,non-US National,1,33,correct,1
0,33,Sports and Video Games,Male,non-US National,v3yunf9n,2,33,Female,non-US National,2,33,over,1
0,33,US Geography,Male,non-US National,wursesku,2,75,Female,non-US National,2,75,over,1
1,75,Math,Male,non-US National,wursesku,2,75,Female,non-US National,2,75,over,1
0,50,Pop-Culture and Art,Male,non-US National,wursesku,1,75,Female,non-US National,1,75,correct,1
1,50,Verbal,Male,non-US National,wursesku,1,75,Female,non-US National,1,75,over,1
0,33,Science and Technology,Male,non-US National,wursesku,1,50,Female,non-US National,1,50,correct,1
0,33,Sports and Video Games,Male,non-US National,wursesku,1,75,Female,non-US National,1,75,correct,1
0,75,US Geography,Male,non-US National,zwzznpo6,0,50,Male,non-US National,0,50,under,1
1,75,Math,Male,non-US National,zwzznpo6,1,33,Male,non-US National,1,33,correct,1
0,75,Pop-Culture and Art,Male,non-US National,zwzznpo6,0,33,Male,non-US National,0,33,under,1
0,75,Verbal,Male,non-US National,zwzznpo6,0,50,Male,non-US National,0,50,under,1
1,75,Science and Technology,Male,non-US National,zwzznpo6,1,33,Male,non-US National,1,33,correct,1
0,75,Sports and Video Games,Male,non-US National,zwzznpo6,1,33,Male,non-US National,1,33,correct,1
